19:40:13.508 INFO  manager.ListenerWD - method click is done on element[[ChromeDriver: chrome on WINDOWS (9fffbc001a577f42a88c1f7b798a32f0)] -> xpath: //button[text()='Ok']]
19:40:13.509 INFO  tests.TestBase - Name of method ---->loginWrongPassword
19:40:13.510 INFO  manager.ListenerWD - before find element By.xpath: //*[.=' Logout ']
19:40:28.541 INFO  manager.ListenerWD - element found success By.xpath: //*[.=' Logout ']
19:40:28.541 INFO  manager.ListenerWD - before find element By.xpath: //a[text()=' Log in ']
19:40:28.573 INFO  manager.ListenerWD - element found success By.xpath: //a[text()=' Log in ']
19:40:28.573 INFO  manager.ListenerWD - start method click on element [[ChromeDriver: chrome on WINDOWS (9fffbc001a577f42a88c1f7b798a32f0)] -> xpath: //a[text()=' Log in ']]
19:40:28.615 INFO  manager.ListenerWD - method click is done on element[[ChromeDriver: chrome on WINDOWS (9fffbc001a577f42a88c1f7b798a32f0)] -> xpath: //a[text()=' Log in ']]
19:40:28.615 INFO  manager.ListenerWD - before find element By.id: email
19:40:28.626 INFO  manager.ListenerWD - element found success By.id: email
19:40:28.626 INFO  manager.ListenerWD - start method click on element [[ChromeDriver: chrome on WINDOWS (9fffbc001a577f42a88c1f7b798a32f0)] -> id: email]
19:40:28.654 INFO  manager.ListenerWD - method click is done on element[[ChromeDriver: chrome on WINDOWS (9fffbc001a577f42a88c1f7b798a32f0)] -> id: email]
19:40:28.780 INFO  manager.ListenerWD - before find element By.id: password
19:40:28.804 INFO  manager.ListenerWD - element found success By.id: password
19:40:28.805 INFO  manager.ListenerWD - start method click on element [[ChromeDriver: chrome on WINDOWS (9fffbc001a577f42a88c1f7b798a32f0)] -> id: password]
19:40:28.832 INFO  manager.ListenerWD - method click is done on element[[ChromeDriver: chrome on WINDOWS (9fffbc001a577f42a88c1f7b798a32f0)] -> id: password]
19:40:28.961 INFO  manager.ListenerWD - before find element By.xpath: //button[@type='submit']
19:40:28.980 INFO  manager.ListenerWD - element found success By.xpath: //button[@type='submit']
19:40:28.980 INFO  manager.ListenerWD - start method click on element [[ChromeDriver: chrome on WINDOWS (9fffbc001a577f42a88c1f7b798a32f0)] -> xpath: //button[@type='submit']]
19:40:29.009 INFO  manager.ListenerWD - method click is done on element[[ChromeDriver: chrome on WINDOWS (9fffbc001a577f42a88c1f7b798a32f0)] -> xpath: //button[@type='submit']]
19:40:29.009 INFO  manager.ListenerWD - before find element By.cssSelector: .dialog-container>h2
19:40:29.403 INFO  manager.ListenerWD - element found success By.cssSelector: .dialog-container>h2
19:40:29.416 INFO  manager.ListenerWD - get text from element with text: "Login or Password incorrect"
19:40:29.422 INFO  manager.ListenerWD - got the text is successful
19:40:29.422 INFO  manager.ListenerWD - before find element By.xpath: //button[text()='Ok']
19:40:29.448 INFO  manager.ListenerWD - element found success By.xpath: //button[text()='Ok']
19:40:29.449 INFO  manager.ListenerWD - before find element By.xpath: //button[text()='Ok']
19:40:29.461 INFO  manager.ListenerWD - element found success By.xpath: //button[text()='Ok']
19:40:29.461 INFO  manager.ListenerWD - start method click on element [[ChromeDriver: chrome on WINDOWS (9fffbc001a577f42a88c1f7b798a32f0)] -> xpath: //button[text()='Ok']]
19:40:29.492 INFO  manager.ListenerWD - method click is done on element[[ChromeDriver: chrome on WINDOWS (9fffbc001a577f42a88c1f7b798a32f0)] -> xpath: //button[text()='Ok']]
