19:22:47.911 INFO  manager.ApplicationManager - All tests run in Chrome Browser
19:22:49.146 INFO  manager.ApplicationManager - The link --> https://ilcarro.web.app/search
19:22:49.171 INFO  tests.TestBase - Name of method ---->loginWrongEmailDP
19:22:49.172 INFO  manager.ListenerWD - before find element By.xpath: //*[.=' Logout ']
19:23:04.225 INFO  manager.ListenerWD - element found success By.xpath: //*[.=' Logout ']
19:23:04.226 INFO  manager.ListenerWD - before find element By.xpath: //a[text()=' Log in ']
19:23:04.238 INFO  manager.ListenerWD - element found success By.xpath: //a[text()=' Log in ']
19:23:04.245 INFO  manager.ListenerWD - start method click on element [[ChromeDriver: chrome on WINDOWS (6f8ab0e7ccdaaad517a44acd0c842612)] -> xpath: //a[text()=' Log in ']]
19:23:04.308 INFO  manager.ListenerWD - method click is done on element[[ChromeDriver: chrome on WINDOWS (6f8ab0e7ccdaaad517a44acd0c842612)] -> xpath: //a[text()=' Log in ']]
19:23:04.308 INFO  manager.ListenerWD - before find element By.id: email
19:23:04.347 INFO  manager.ListenerWD - element found success By.id: email
19:23:04.347 INFO  manager.ListenerWD - start method click on element [[ChromeDriver: chrome on WINDOWS (6f8ab0e7ccdaaad517a44acd0c842612)] -> id: email]
19:23:04.381 INFO  manager.ListenerWD - method click is done on element[[ChromeDriver: chrome on WINDOWS (6f8ab0e7ccdaaad517a44acd0c842612)] -> id: email]
19:23:04.532 INFO  manager.ListenerWD - before find element By.id: password
19:23:04.550 INFO  manager.ListenerWD - element found success By.id: password
19:23:04.550 INFO  manager.ListenerWD - start method click on element [[ChromeDriver: chrome on WINDOWS (6f8ab0e7ccdaaad517a44acd0c842612)] -> id: password]
19:23:04.582 INFO  manager.ListenerWD - method click is done on element[[ChromeDriver: chrome on WINDOWS (6f8ab0e7ccdaaad517a44acd0c842612)] -> id: password]
19:23:04.705 INFO  manager.ListenerWD - before find element By.xpath: //button[@type='submit']
19:23:04.723 INFO  manager.ListenerWD - element found success By.xpath: //button[@type='submit']
